SRR9322768 CE_CB4856.1
SRR9322769  CE_CB4856.2
SRR9322775  CE_CB4856.3
SRR9322863  CE_CB4856.4
SRR9322864  CE_CB4856.5
SRR9322720 CE_ED3040.1
SRR9322724  CE_ED3040.2
SRR9322725  CE_ED3040.3
SRR9322726  CE_ED3040.4
SRR9322818  CE_ED3040.5
SRR9322295 CE_JU1088.1
SRR9322300 CE_JU1088.2
SRR9322301 CE_JU1088.3
SRR9322577 CE_JU1652.1
SRR9322578 CE_JU1652.2
SRR9322579 CE_JU1652.3
SRR9322349 CE_JU775.1
SRR9322352 CE_JU775.2
SRR9322355 CE_JU775.3
SRR9322364 CE_JU775.4
SRR9322907 CE_MY16.1
SRR9322327 CE_MY16.2
SRR9322913 CE_MY16.3
SRR9322161 CE_MY16.4
SRR9324168 CE_QX1211.1
SRR9324217 CE_QX1211.2
SRR9323954 CE_QX1211.3
SRR9323955 CE_QX1211.4
SRR2002620 CB_AF16
ERR3063412 CB_HK104.1
ERR3063411 CB_HK104.2
SRR8333803 CB_HK104.3
SRR1793004 CB_JU1348
SRR1792964 CB_JU726
SRR1793012 CB_NIC20
SRR1793006 CB_QR25
SRR12623131 CT_JU1373.1
SRR241785 CT_JU1373.2
SRR12623130 CT_JU1630
SRR12623045 CT_NIC58.1
SRR12623063 CT_NIC58.2
SRR12623047 CT_QG131
SRR12623046 CT_QG834
